Token ID,Name,Tier
0,Elemental Bean,✦
1,Elemental Bean,✦
2,Elemental Bean,✦
3,Elemental Bean,✦✦✦
4,Elemental Bean,✦✦
5,Elemental Bean,✦
6,Elemental Bean,✦✦
7,Elemental Bean,✦✦✦✦
8,Elemental Bean,✦
9,Elemental Bean,✦
10,Elemental Bean,✦✦
11,Elemental Bean,✦
12,Elemental Bean,✦✦
13,Elemental Bean,✦
14,Elemental Bean,✦
15,Elemental Bean,✦✦
16,Elemental Bean,✦
17,Elemental Bean,✦
18,Elemental Bean,✦✦✦
19,Elemental Bean,✦
20,Elemental Bean,✦
21,Elemental Bean,✦
22,Elemental Bean,✦
23,Elemental Bean,✦
24,Elemental Bean,✦
25,Elemental Bean,✦✦
26,Elemental Bean,✦
27,Elemental Bean,✦
28,Elemental Bean,✦
29,Elemental Bean,✦
30,Elemental Bean,✦
31,Elemental Bean,✦✦
32,Elemental Bean,✦
33,Elemental Bean,✦✦
34,Elemental Bean,✦
35,Elemental Bean,✦
36,Elemental Bean,✦
37,Elemental Bean,✦
38,Elemental Bean,✦
39,Elemental Bean,✦
40,Elemental Bean,✦✦
41,Elemental Bean,✦
42,Elemental Bean,✦
43,Elemental Bean,✦
44,Elemental Bean,✦
45,Elemental Bean,✦
46,Elemental Bean,✦
47,Elemental Bean,✦✦✦✦
48,Elemental Bean,✦
49,Elemental Bean,✦✦
50,Elemental Bean,✦
51,Elemental Bean,✦
52,Elemental Bean,✦✦
53,Elemental Bean,✦✦✦✦
54,Elemental Bean,✦✦
55,Elemental Bean,✦✦
56,Elemental Bean,✦✦
57,Elemental Bean,✦
58,Elemental Bean,✦
59,Elemental Bean,✦✦
60,Elemental Bean,✦
61,Elemental Bean,✦
62,Elemental Bean,✦
63,Elemental Bean,✦
64,Elemental Bean,✦
65,Elemental Bean,✦
66,Elemental Bean,✦
67,Elemental Bean,✦✦
68,Elemental Bean,✦
69,Elemental Bean,✦
70,Elemental Bean,✦
71,Elemental Bean,✦
72,Elemental Bean,✦
73,Elemental Bean,✦
74,Elemental Bean,✦
75,Elemental Bean,✦
76,Elemental Bean,✦
77,Elemental Bean,✦✦✦✦
78,Elemental Bean,✦
79,Elemental Bean,✦✦
80,Elemental Bean,✦
81,Elemental Bean,✦
82,Elemental Bean,✦
83,Elemental Bean,✦✦
84,Elemental Bean,✦
85,Elemental Bean,✦
86,Elemental Bean,✦✦✦
87,Elemental Bean,✦
88,Elemental Bean,✦
89,Elemental Bean,✦
90,Elemental Bean,✦
91,Elemental Bean,✦
92,Elemental Bean,✦
93,Elemental Bean,✦
